student_profile_id,human_wcpm_partial,human_wcpm_perfect,ai_wcpm_partial,ai_wcpm_perfect,human_total_words,ai_total_words,human_words_correct_partial,human_words_correct_perfect,ai_words_correct_partial,ai_words_correct_perfect,total_duration_seconds,total_duration_minutes,num_submissions,wcpm_diff_partial,wcpm_diff_perfect
28421,92.19858156028369,85.1063829787234,85.1063829787234,63.82978723404255,13,13,13,12,12,9,8.46,0.14100000000000001,2,7.092198581560282,21.276595744680854
30630,91.83673469387756,91.83673469387756,91.83673469387756,15.306122448979593,6,6,6,6,6,1,3.92,0.06533333333333333,1,0.0,76.53061224489797
28385,91.25475285171103,91.25475285171103,114.06844106463879,68.44106463878327,6,5,4,4,5,3,2.63,0.04383333333333333,1,-22.813688212927758,22.813688212927758
28387,87.66233766233766,81.16883116883118,64.93506493506493,45.45454545454545,27,20,27,25,20,14,18.48,0.308,3,22.727272727272734,35.71428571428572
28516,87.37864077669903,80.6572068707991,76.17625093353249,49.290515309932786,42,36,39,36,34,22,26.78,0.44633333333333336,5,11.202389843166543,31.366691560866315
28469,87.31808731808732,74.84407484407485,68.60706860706861,37.42203742203743,15,11,14,12,11,6,9.62,0.16033333333333333,1,18.71101871101871,37.42203742203743
30476,86.24229979466119,78.02874743326488,65.70841889117044,49.281314168377826,21,16,21,19,16,12,14.61,0.2435,2,20.533880903490754,28.747433264887057
31206,84.87229862475442,73.0844793713163,58.93909626719057,44.79371316306484,36,27,36,31,25,19,25.45,0.42416666666666664,3,25.93320235756385,28.29076620825147
30626,84.66603951081844,67.73283160865475,56.444026340545626,39.51081843838194,15,11,15,12,10,7,10.63,0.17716666666666667,1,28.22201317027281,28.22201317027281
30569,83.0188679245283,75.47169811320754,60.37735849056603,45.283018867924525,22,17,22,20,16,12,15.9,0.265,2,22.641509433962263,30.188679245283012
30693,83.00395256916995,71.14624505928853,59.28853754940711,47.43083003952569,7,8,7,6,5,4,5.0600000000000005,0.08433333333333334,2,23.715415019762844,23.715415019762844
28518,82.4607329842932,82.4607329842932,51.04712041884817,23.56020942408377,22,18,21,21,13,6,15.28,0.25466666666666665,2,31.41361256544503,58.900523560209436
28432,81.44796380090497,78.73303167420814,59.72850678733032,54.29864253393665,30,22,30,29,22,20,22.1,0.36833333333333335,2,21.719457013574655,24.434389140271485
30823,79.29515418502201,79.29515418502201,66.07929515418502,52.86343612334801,6,6,6,6,5,4,4.54,0.07566666666666667,1,13.215859030836995,26.431718061674005
28485,77.87151200519142,70.08436080467229,54.510058403634,46.72290720311486,21,15,20,18,14,12,15.41,0.25683333333333336,2,23.36145360155742,23.36145360155743
31203,74.23773751657092,68.93504197967299,60.98099867432611,47.7242598320813,28,24,28,26,23,18,22.630000000000003,0.3771666666666667,3,13.256738842244808,21.210782147591686
28355,71.57057654075545,71.57057654075545,71.57057654075545,47.71371769383697,6,6,6,6,6,4,5.03,0.08383333333333334,1,0.0,23.856858846918485
28509,70.27213227695488,57.87116775749225,47.537030657940065,28.935583878746126,36,29,34,28,23,14,29.03,0.48383333333333334,4,22.735101619014813,28.935583878746126
31204,70.0583819849875,60.050041701417854,65.05421184320268,55.045871559633035,14,14,14,12,13,11,11.989999999999998,0.1998333333333333,2,5.004170141784826,5.004170141784819
28429,69.39501779359432,69.39501779359432,69.39501779359432,58.71886120996442,13,13,13,13,13,11,11.239999999999998,0.1873333333333333,2,0.0,10.676156583629897
30490,68.84377758164166,63.548102383053845,68.84377758164166,63.548102383053845,13,13,13,12,13,12,11.33,0.18883333333333333,2,0.0,0.0
28381,66.43952299829644,61.328790459965944,61.328790459965944,61.328790459965944,13,13,13,12,12,12,11.739999999999998,0.19566666666666663,2,5.110732538330495,0.0
30485,65.98984771573603,60.91370558375634,45.68527918781726,45.68527918781726,15,10,13,12,9,9,11.82,0.197,1,20.304568527918775,15.228426395939081
28457,65.37530266343826,65.37530266343826,69.00726392251816,61.743341404358354,19,19,18,18,19,17,16.52,0.2753333333333333,3,-3.631961259079901,3.631961259079908
31207,65.33575317604355,65.33575317604355,54.4464609800363,27.22323049001815,13,12,12,12,10,5,11.02,0.18366666666666667,2,10.889292196007254,38.1125226860254
28363,64.06570841889116,61.60164271047227,49.28131416837782,36.96098562628336,27,21,26,25,20,15,24.35,0.4058333333333334,3,14.784394250513344,24.64065708418891
30596,63.15789473684211,46.31578947368421,33.68421052631579,29.47368421052632,15,9,15,11,8,7,14.25,0.2375,1,29.473684210526322,16.842105263157894
28446,62.98110566829951,62.98110566829951,41.98740377886634,37.78866340097971,15,11,15,15,10,9,14.29,0.23816666666666667,1,20.993701889433176,25.192442267319805
28438,62.19765031098825,62.19765031098825,45.61161022805805,45.61161022805805,15,11,15,15,11,11,14.47,0.24116666666666667,1,16.586040082930204,16.586040082930204
28392,61.94690265486725,53.097345132743364,61.94690265486725,61.94690265486725,7,7,7,6,7,7,6.78,0.113,1,0.0,-8.849557522123888
30840,58.04749340369394,52.77044854881267,36.93931398416887,29.02374670184697,22,16,22,20,14,11,22.74,0.37899999999999995,2,21.108179419525072,23.746701846965703
28444,56.91056910569106,48.78048780487805,56.91056910569106,32.520325203252035,7,7,7,6,7,4,7.38,0.123,1,0.0,16.260162601626014
30633,56.71077504725898,52.93005671077505,60.491493383742906,52.93005671077505,21,17,15,14,16,14,15.870000000000001,0.2645,2,-3.780718336483929,0.0
28471,55.97014925373135,52.23880597014926,37.3134328358209,37.3134328358209,15,11,15,14,10,10,16.08,0.26799999999999996,1,18.656716417910452,14.92537313432836
28359,55.900621118012424,49.68944099378882,55.900621118012424,37.267080745341616,13,9,9,8,9,6,9.66,0.161,2,0.0,12.422360248447205
28475,47.16531681753216,44.30681276798475,35.73130061934255,27.155788470700333,36,27,33,31,25,19,41.98,0.6996666666666667,3,11.43401619818961,17.15102429728442
28470,46.60797514241326,37.28638011393061,31.07198342827551,21.750388399792854,15,11,15,12,10,7,19.31,0.3218333333333333,1,15.53599171413775,15.535991714137758
28403,46.103183315038414,44.78594950603732,35.56531284302963,23.710208562019755,35,30,35,34,27,18,45.550000000000004,0.7591666666666668,4,10.537870472008784,21.075740944017564
28417,44.00564174894217,42.313117066290545,32.157968970380814,25.387870239774326,28,23,26,25,19,15,35.45,0.5908333333333334,3,11.847672778561353,16.92524682651622
30481,43.19371727748691,43.19371727748691,39.26701570680628,27.4869109947644,13,13,11,11,10,7,15.28,0.25466666666666665,2,3.9267015706806276,15.70680628272251
28431,34.341782502044154,34.341782502044154,34.341782502044154,4.905968928863451,7,7,7,7,7,1,12.23,0.20383333333333334,1,0.0,29.435813573180702
28441,31.98294243070362,31.98294243070362,38.379530916844345,6.3965884861407245,7,7,5,5,6,1,9.38,0.15633333333333335,1,-6.396588486140725,25.586353944562894
30941,31.46509341199607,23.598820058997052,19.665683382497544,9.832841691248772,20,10,16,12,10,5,30.509999999999998,0.5085,2,11.799410029498524,13.76597836774828
28465,28.364323983611722,26.47336905137094,39.710053577056414,34.03718878033406,15,21,15,14,21,18,31.73,0.5288333333333334,2,-11.345729593444691,-7.5638197289631215
28376,25.583756345177665,23.14720812182741,19.492385786802032,13.401015228426397,21,17,21,19,16,11,49.25,0.8208333333333333,2,6.091370558375633,9.746192893401014
28371,19.77793199167245,18.736988202637058,20.81887578070784,8.327550312283137,37,21,19,18,20,8,57.64,0.9606666666666667,3,-1.040943789035392,10.40943789035392
28443,0.0,0.0,113.20754716981132,0.0,15,1,0,0,1,0,0.53,0.008833333333333334,1,-113.20754716981132,0.0
30586,0.0,0.0,163.4241245136187,163.4241245136187,0,7,0,0,7,7,2.57,0.04283333333333333,1,-163.4241245136187,-163.4241245136187
